Date,Long Iram,Barong Tongkok,Kembang Janggut,Karang Tunggal,Damai,Muara Ancalong,Muara Kaman,Panyinggahan,Sumber Sari,Tj. Issuy,Tenggarong,Muara Wahau
09-Oct-08,-,0,0,0.5,2.5,0,0,0,0.5,0,0,0
10-Oct-08,-,0,0,0,0,10.2,0,0,0,0,2.8,11.2
11-Oct-08,-,1,0,0,38.4,0,0,0,0,5.6,0,0
12-Oct-08,-,0,0,17,0,0,0,0,1.5,6.6,0,0
13-Oct-08,-,5,2.4,40,3.6,10.1,0,49.5,40.2,0,0,15.2
14-Oct-08,-,1.2,0,0,0,0,26.7,0,2.4,0,3.4,0
15-Oct-08,-,0,0,17,0,0,0,0,15.2,0,7.2,0
16-Oct-08,-,0,0,0,0,0,34.5,0,0,0,0,0
17-Oct-08,-,0,2.6,24,0,23.3,52.3,0,23.1,0,12.8,20.6
18-Oct-08,-,0,3.7,0,0,0,47.5,0,0,0,50.6,0
19-Oct-08,-,0,7.3,0,50.1,14.4,0,0,0,0,0,15.2
20-Oct-08,-,31.6,0,0,0,0,0,0,15.2,1.6,0,0
21-Oct-08,-,5,0,0,0,0,0,10,0,0,78.6,0
22-Oct-08,-,0,0,0,16.4,0,0,9.6,0,33.6,0,0
23-Oct-08,-,0,3.2,0.3,0,0,27.6,0,0.6,0,1.7,0
24-Oct-08,-,21.4,1.6,14,0,33.4,0,31,15.2,28.6,0,30.2
25-Oct-08,-,3,3.7,47,0,0,16.4,55.5,40.5,40,0,0
26-Oct-08,-,15.2,5.2,0,0,23.3,0,61.8,0,0,8.4,20.6
27-Oct-08,-,0,12.8,0,46.4,0,0,0,0,0,0,0
28-Oct-08,-,0,0,0.7,0,26.1,0,0,1.5,0,7.6,25.6
29-Oct-08,-,0,0,0,0,0,28.5,0,0.5,0,1.2,0
30-Oct-08,-,15.2,0,0,51.6,0,0,0,0,0,1.1,0
31-Oct-08,-,0,0,0,0,30,0,31.5,0,14.3,0,22.6
01-Nov-08,-,12.5,0,0,50.2,0,57.6,1,0,0,36.7,0
02-Nov-08,-,2,0,0,47.6,0,62.4,44.5,0,71,0,11.2
03-Nov-08,-,31.5,1.6,0,0,0,35.7,0,0,52.9,0,0
04-Nov-08,-,0,3.4,9,20.5,65.1,54.5,9.3,9,7.5,49.4,20.6
05-Nov-08,-,0,1.7,40,0,0,0,9.8,40,0,16.8,0
06-Nov-08,-,0.6,1.2,0,45.3,0,47.5,0,0,4,0,0
07-Nov-08,-,0,0,66,1.2,0,63.3,0,66,0,0,0
08-Nov-08,-,0,0,0,11.5,0,0,0,0,0,0,15.2
09-Nov-08,-,0,1.6,16,0,0,0,0,16,0,83.6,0
10-Nov-08,-,2,2.7,26,0,0,54.6,9.21,26,0,30.1,0
11-Nov-08,-,31.5,5.5,0,0,0,57.4,10,0,22,8.8,0
12-Nov-08,-,0,7.2,0,2.5,72.1,62.5,0,0,0,0,22.6
13-Nov-08,-,0,0,0,0,0,0,9.7,0,0,0,0
14-Nov-08,-,0,0,0,0,0,45.2,0,0,27,0,0
15-Nov-08,-,15.2,2.5,0,0,0,0,0,0,0,0,30.6
16-Nov-08,-,31.6,1.7,0,15.2,0,65.6,0,0,27.5,192.5,0
17-Nov-08,-,0,2.4,0,30.2,0,0,0,0,0,0,0
18-Nov-08,-,0,3.6,0,0,0,0,0,0,0,23.3,0
19-Nov-08,-,15.2,1.3,10,0,0,72.4,0,10,0,0,0
20-Nov-08,-,0,2.7,0.3,0,0,0,7.2,0.3,0,44.7,0
21-Nov-08,-,15.2,1.2,0,11.5,0,58.5,0,0,6.9,12.8,0
22-Nov-08,-,8.21,2.3,23,3.6,13.7,0,17.3,23,13,0,10.7
23-Nov-08,-,0,3.7,0.7,0,0,0,35.1,0.7,0,0,0
24-Nov-08,-,0,0,0,0,0,0,0,0,20.9,0,0
25-Nov-08,-,0,0,47,0,35.5,0,80,47,3,56.4,33.6
26-Nov-08,-,0,0,17,0,0,0,25.4,17,0,0,0
27-Nov-08,-,0,0,0,0,0,45.7,0,0,0,0,3.6
28-Nov-08,-,1,0,0,15.2,0,38.6,0,0,0,31.6,0
29-Nov-08,-,0,0,0,0,26,0,0,0,0,10.9,21.5
30-Nov-08,-,0,0,0,2.4,0,0,0,0,0,0,1.5
01-Dec-08,-,0,0,16,0,0,64.6,37,0,0,73.2,20.6
02-Dec-08,-,0,0,0,2.6,0,0,8,16,19.4,5.4,0
03-Dec-08,-,1,0,10,15.2,0,71.4,0,0,0,0,0
04-Dec-08,-,0,1.5,0,21.5,10.1,56.6,0,10,3.7,0,15.2
05-Dec-08,-,5.6,2.7,61,40.2,0,0,0,0,0,20.6,0
06-Dec-08,-,0.9,0,7,2.6,23.3,0,0,61,5.7,53.5,30.6
07-Dec-08,-,1,1.7,0,0.5,0,47.5,115.6,7,0,17.7,0
08-Dec-08,-,0,2.8,18,0,0,62.3,1.5,0,6.5,0,0
09-Dec-08,-,0,1.6,22,0,34,39.4,0,18,6.4,0,24.5
10-Dec-08,-,0,0,6,0,0,0,0,22,0,49.3,0
11-Dec-08,-,0,1.2,0,40.2,0,52.5,26,6,4.7,0,0
12-Dec-08,-,10.5,4.6,0,1.5,36.7,67.4,0.4,0,0,64.5,26.3
13-Dec-08,-,0.6,1.5,0,0,0,0,20,0,0,0,0
14-Dec-08,-,0.3,2.6,28.5,10.2,0,54.7,0,0,3.5,0,0
15-Dec-08,-,0,1.4,10.5,0,0,0,0,28.5,0,0,0
